millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz,pqd
39986,-22.590944,-42.764542,11,11.40,2025/6/2,13:30:45,0.38,1026.53,0.03,9.64,-0.01,0.10,-0.20,-0.11,0
40223,-22.590944,-42.764542,11,11.40,2025/6/2,13:30:45,0.27,1026.54,0.03,9.31,-0.04,0.09,0.05,-0.07,0
40453,-22.590944,-42.764542,11,11.40,2025/6/2,13:30:45,0.30,1026.53,-0.14,9.75,0.05,-0.23,0.01,-0.01,0
40703,-22.590944,-42.764542,11,11.40,2025/6/2,13:30:45,0.46,1026.52,0.06,9.68,0.10,-0.07,0.18,-0.06,0
40938,-22.590944,-42.764542,11,11.40,2025/6/2,13:30:46,0.40,1026.52,-0.08,9.63,0.00,0.01,0.10,0.02,0
41176,-22.590944,-42.764542,12,11.50,2025/6/2,13:30:46,0.30,1026.54,-0.08,9.47,-0.06,0.01,-0.05,0.03,0
41420,-22.590944,-42.764542,12,11.50,2025/6/2,13:30:46,0.46,1026.52,-0.06,9.54,-0.09,-0.07,0.06,0.12,0
41663,-22.590944,-42.764542,12,11.50,2025/6/2,13:30:46,0.50,1026.51,0.20,9.67,-0.22,-0.02,0.08,0.01,0
41897,-22.590944,-42.764542,12,11.50,2025/6/2,13:30:47,0.26,1026.54,0.05,9.61,-0.04,-0.04,-0.04,0.07,0
42143,-22.590944,-42.764542,12,11.50,2025/6/2,13:30:47,0.44,1026.52,0.11,9.77,-0.10,-0.00,0.02,-0.02,0
42397,-22.590944,-42.764542,12,11.50,2025/6/2,13:30:47,0.47,1026.51,0.08,9.50,-0.07,0.01,-0.03,0.06,0
42646,-22.590944,-42.764542,12,11.50,2025/6/2,13:30:47,0.34,1026.53,0.05,9.50,-0.25,-0.00,0.02,0.05,0
42889,-22.590944,-42.764541,12,11.50,2025/6/2,13:30:48,0.51,1026.51,0.03,9.60,-0.25,0.02,-0.03,0.03,0
43241,-22.590944,-42.764541,12,11.60,2025/6/2,13:30:48,0.19,1026.55,0.02,9.65,-0.12,-0.02,0.04,-0.00,0
43483,-22.590944,-42.764541,12,11.60,2025/6/2,13:30:48,0.58,1026.50,0.08,9.58,-0.22,-0.02,0.05,0.05,0
43719,-22.590944,-42.764541,12,11.60,2025/6/2,13:30:48,0.33,1026.53,0.15,9.66,-0.38,-0.01,0.03,0.07,0
43960,-22.590944,-42.764540,12,11.60,2025/6/2,13:30:49,0.51,1026.54,0.20,9.62,-0.34,-0.03,0.02,-0.01,0
44208,-22.590944,-42.764540,12,11.60,2025/6/2,13:30:49,0.48,1026.51,0.14,9.50,-0.28,-0.01,-0.04,0.07,0
44459,-22.590944,-42.764540,12,11.60,2025/6/2,13:30:49,0.28,1026.54,0.09,9.69,-0.20,-0.04,-0.00,0.02,0
44708,-22.590944,-42.764540,12,11.60,2025/6/2,13:30:49,0.29,1026.54,0.09,9.58,-0.22,-0.01,0.00,-0.00,0
44958,-22.590944,-42.764540,12,11.60,2025/6/2,13:30:50,0.34,1026.53,0.10,9.55,-0.14,-0.03,0.01,0.00,0
45212,-22.590944,-42.764540,12,11.70,2025/6/2,13:30:50,0.40,1026.52,0.03,9.57,-0.26,0.02,-0.04,0.01,0
45465,-22.590944,-42.764540,12,11.70,2025/6/2,13:30:50,0.64,1026.53,-0.09,9.55,-0.38,-0.04,-0.04,-0.02,0
45720,-22.590944,-42.764540,12,11.70,2025/6/2,13:30:50,0.70,1026.49,-0.26,9.62,0.00,-0.12,-0.00,0.07,0
45971,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:51,0.53,1026.51,0.00,9.76,-0.03,0.03,-0.06,0.01,0
